,acousticness
0,0.655
1,0.0119
2,0.44
3,0.194
4,0.378
5,0.511
6,0.331
7,0.753
8,0.0387
9,0.0265
10,0.0807
11,0.0789
12,0.0231
13,0.0883
14,0.0162
15,0.00112
16,0.759
17,0.524
18,0.375
19,0.0593
20,0.0573
21,0.0104
22,0.465
23,0.162
24,0.063
25,0.0172
26,0.0996
27,0.309
28,0.194
29,0.145
30,0.00462
31,0.0906
32,0.133
33,0.00578
34,0.0123
35,0.00589
36,0.257
37,0.585
38,0.0375
39,0.00908
40,0.00134
41,0.257
42,0.208
43,0.0079
44,0.0372
45,0.142
46,0.0245
47,0.741
48,0.0146
49,0.0493
50,0.616
51,0.0455
52,0.536
53,0.0138
54,0.188
55,0.0303
56,0.0207
57,0.0104
58,0.0738
59,0.0996
60,0.093
61,0.251
62,0.25
63,0.371
64,0.0365
65,0.524
66,0.0734
67,0.105
68,0.235
69,0.665
70,0.174
71,0.0732
72,0.132
73,0.0302
74,0.0556
75,0.00307
76,0.0579
77,0.051
78,0.57
79,0.00104
80,0.0652
81,0.546
82,0.0112
83,0.398
84,0.89
85,0.0646
86,0.524
87,0.665
88,0.0362
89,0.274
90,0.0295
91,0.0172
92,0.0802
93,0.124
94,0.124
95,0.0802
96,0.0167
97,0.000244
98,0.542
99,0.0899
100,0.0952
101,0.00513
102,0.0614
103,0.36
104,0.235
105,0.0129
106,0.271
107,0.073
108,0.00608
109,0.0129
110,0.0331
111,0.114
112,0.271
113,0.0608
114,0.126
115,0.373
116,0.197
117,0.202
118,0.00135
119,0.0337
120,0.204
121,0.0128
122,0.0737
123,0.137
124,0.0394
125,0.00554
126,0.0533
127,0.00908
128,0.0247
129,0.125
130,0.011
131,0.0154
132,0.0151
133,0.0467
134,0.077
135,0.261
136,0.0479
137,0.127
138,0.0411
139,0.188
140,0.0127
141,0.536
142,0.193
143,0.212
144,0.339
145,0.126
146,0.188
147,0.162
148,0.0287
149,0.0161
150,0.084
151,0.0609
152,0.25
153,0.11
154,0.0151
155,0.084
156,0.0481
157,0.346
158,0.162
159,0.0459
160,0.0267
161,0.301
162,0.169
163,0.0283
164,0.606
165,0.0609
166,0.0567
167,0.259
168,0.114
169,0.0187
170,0.00767
171,0.661
172,0.105
173,0.257
174,0.0667
175,0.00671
176,0.0806
177,0.15
178,0.0758
179,0.525
180,0.219
181,0.0316
182,0.0546
183,0.000402
184,0.0428
185,0.097
186,0.228
187,0.138
188,0.0688
189,0.0331
190,0.0295
191,0.507
192,0.0406
193,0.149
194,0.0453
195,0.174
196,0.00981
197,0.368
198,0.344
199,0.0172
200,0.181
201,0.325
202,0.257
203,0.762
204,0.0771
205,0.0038
206,0.138
207,0.524
208,
209,0.0508
210,0.344
211,0.134
212,0.141
213,0.283
214,0.127
215,0.127
216,0.0744
217,0.163
218,0.524
219,0.0101
220,0.497
221,0.000739
222,0.0508
223,0.368
224,0.0303
225,0.384
226,0.235
227,0.00183
228,0.00183
229,0.0168
230,0.19
231,0.0306
232,0.0361
233,0.00608
234,0.121
235,0.136
236,0.0287
237,0.0287
238,0.0508
239,0.15
240,0.0599
241,0.939
242,0.0145
243,0.0214
244,0.0195
245,0.0154
246,0.0538
247,0.0167
