,album
0,Modal Soul
1,Social Cues
2,Dreamland
3,SATURATION III
4,Sigh for Me
5,Crazy
6,What Could Possibly Go Wrong
7,"Oh, Inverted World (20th Anniversary Remaster)"
8,More Than Just a Dream (Deluxe Edition)
9,Melophobia
10,Melophobia
11,supercuts
12,Quiet Ferocity
13,Weekend
14,How To Be A Human Being
15,Nothing Happens
16,Locket
17,Heaven Or Hell
18,Drip or Drown 2
19,Northsbest (Extended)
20,Mistaken (feat. Alex Aris)
21,JACKBOYS
22,COSMIC
23,Summer Pack
24,So Much Fun
25,Future & Juice WRLD Present... WRLD ON DRUGS
26,Dying to Live
27,COSMIC
28,BORN AGAIN
29,GHOST
30,Currents
31,Hollywood's Bleeding
32,DiCaprio 2
33,We Love You Tecca
34,On My Way
35,To Pimp A Butterfly
36,Drip Harder
37,17
38,Leprechauns & Unicorns
39,Neighbor (feat. Travis Scott)
40,Rodeo (Expanded Edition)
41,Realer
42,Shelby
43,A Love Letter To You 3
44,Watch (feat. Lil Uzi Vert & Kanye West)
45,Meet The Woo 2
46,The Slow Rush
47,Trap Jack 2
48,Mamacita (feat. Rich Homie Quan & Young Thug)
49,i am > i was
50,The Booty Tape
51,Lil Boat 2
52,So Far Gone
53,Playboi Carti
54,FUTURE
55,HNDRXX
56,ZUU
57,JACKBOYS
58,"West Coast (feat. Blueface, ALLBLACK & YG)"
59,Dying to Live
60,Slide (feat. Blueface & Lil Tjay)
61,ERYS (Deluxe)
62,B4 The Storm
63,A Love Letter To You
64,SAVE ME
65,Heaven Or Hell
66,MUDBOY
67,Nuthin' 2 Prove
68,KILLSTREAK
69,Alfredo
70,Playboi Carti
71,Who Want The Smoke?
72,No.6 Collaborations Project
73,Arms Around You (feat. Maluma & Swae Lee)
74,The World Is Yours 2
75,The Slow Rush
76,Death (feat. DaBaby)
77,Eternal Atake (Deluxe) - LUV vs. The World 2
78,Enter The Wu-Tang (36 Chambers) [Expanded Edition]
79,Look Alive (feat. Drake)
80,Project Baby 2: All Grown Up (Deluxe Edition)
81,beerbongs & bentleys
82,PRSCO
83,Rodeo (Expanded Edition)
84,Swimming
85,Bad Habits (Deluxe)
86,Heaven Or Hell
87,Alfredo
88,OG Bobby Johnson
89,?
90,The Blueprint 3
91,Future & Juice WRLD Present... WRLD ON DRUGS
92,Goodbye & Good Riddance
93,JEFFERY
94,JEFFERY
95,Goodbye & Good Riddance
96,Go Up (feat. Roddy Ricch)
97,i am > i was
98,ZUU
99,So Much Fun
100,88GLAM RELOADED
101,ASTROWORLD
102,Still My Moment
103,Birds In The Trap Sing McKnight
104,album1
105,Eternal Atake (Deluxe) - LUV vs. The World 2
106,Cloud Nine
107,ONEPOINTFIVE
108,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)
109,Eternal Atake (Deluxe) - LUV vs. The World 2
110,Emergency Tsunami
111,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) [from Deadpool 2]"
112,Cloud Nine
113,Baby On Baby
114,Death Race For Love
115,Savage Mode
116,Lil Boat 3
117,ERYS (Deluxe)
118,Undefeated (feat. Lil Keed)
119,RESET
120,DAMN.
121,All Monsters Are Human
122,Funeral
123,Bad Habits (Deluxe)
124,Drip or Drown 2
125,Sauce Like This
126,7 EP
127,Neighbor (feat. Travis Scott)
128,The London (feat. J. Cole & Travis Scott)
