,danceability
0,0.565
1,0.668
2,0.761
3,0.672
4,0.721
5,0.603
6,0.787
7,0.67
8,0.545
9,0.44
10,0.636
11,0.807
12,0.803
13,0.923
14,0.55
15,0.504
16,0.393
17,0.652
18,0.84
19,0.75
20,0.424
21,0.802
22,0.745
23,0.55
24,0.855
25,0.819
26,0.91
27,0.677
28,0.642
29,0.782
30,0.602
31,0.499
32,0.708
33,0.717
34,0.7
35,0.884
36,0.658
37,0.769
38,0.644
39,0.921
40,0.522
41,0.748
42,0.771
43,0.825
44,0.706
45,0.733
46,0.664
47,0.839
48,0.823
49,0.904
50,0.816
51,0.667
52,0.562
53,0.785
54,0.831
55,0.415
56,0.632
57,0.802
58,0.882
59,0.91
60,0.532
61,0.759
62,0.8
63,0.845
64,0.801
65,0.652
66,0.677
67,0.95
68,0.732
69,0.599
70,0.773
71,0.899
72,0.716
73,0.703
74,0.589
75,0.731
76,0.802
77,0.817
78,0.479
79,0.922
80,0.736
81,0.75
82,0.729
83,0.507
84,0.272
85,0.901
86,0.652
87,0.599
88,0.943
89,0.562
90,0.491
91,0.819
92,0.776
93,0.863
94,0.863
95,0.776
96,0.842
97,0.885
98,0.399
99,0.857
100,0.753
101,0.834
102,0.83
103,0.744
104,0.474
105,0.733
106,0.64
107,0.754
108,0.604
109,0.733
110,0.853
111,0.618
112,0.64
113,0.876
114,0.674
115,0.835
116,0.667
117,0.684
118,0.855
119,0.795
120,0.748
121,0.887
122,0.466
123,0.825
124,0.912
125,0.886
126,0.878
127,0.921
128,0.796
129,0.465
130,0.793
131,0.898
132,0.781
133,0.717
134,0.886
135,0.7
136,0.816
137,0.602
138,0.699
139,0.673
140,0.725
141,0.671
142,0.861
143,0.548
144,0.585
145,0.58
146,0.673
147,0.55
148,0.594
149,0.542
150,0.712
151,0.854
152,0.8
153,0.794
154,0.781
155,0.712
156,0.757
157,0.636
158,0.71
159,0.655
160,0.629
161,0.753
162,0.736
163,0.838
164,0.551
165,0.854
166,0.559
167,0.889
168,0.773
169,0.512
170,0.713
171,0.592
172,0.817
173,0.751
174,0.951
175,0.568
176,0.794
177,0.772
178,0.745
179,0.921
180,0.374
181,0.831
182,0.598
183,0.364
184,0.667
185,0.646
186,0.828
187,0.77
188,0.909
189,0.853
190,0.894
191,0.883
192,0.621
193,0.837
194,0.728
195,0.773
196,0.629
197,0.901
198,0.58
199,0.925
200,0.787
201,0.88
202,0.748
203,0.66
204,0.59
205,0.901
206,0.77
207,0.652
208,
209,0.813
210,0.58
211,0.557
212,0.824
213,0.931
214,0.602
215,0.602
216,0.95
217,0.825
218,0.652
219,0.733
220,0.666
221,0.53
222,0.813
223,0.901
224,0.656
225,0.768
226,0.522
227,0.938
228,0.938
229,0.713
230,0.736
231,0.747
232,0.772
233,0.604
234,0.733
235,0.906
236,0.594
237,0.594
238,0.779
239,0.678
240,0.852
241,0.462
242,0.546
243,0.793
244,0.629
245,0.898
246,0.487
247,0.842
248,0.823
249,0.782
250,0.671
251,0.747
252,0.538
253,0.935
254,0.502
255,0.82
256,0.846
257,0.897
258,0.802
259,0.747
260,0.399
261,0.845
262,0.53
263,0.566
264,0.75
265,0.835
266,0.834
267,0.563
268,0.66
269,0.736
270,
271,0.598
272,0.884
273,0.938
274,0.365
275,0.876
276,0.568
277,0.747
278,0.712
279,0.724
280,0.752
281,0.792
282,0.701
283,0.556
284,0.912
285,0.815
286,0.9
287,0.561
288,0.95
289,0.554
