,energy
0,0.749
1,0.913
2,0.525
3,0.452
4,0.567
5,0.673
6,0.735
7,0.403
8,0.968
9,0.778
10,0.676
11,0.539
12,0.636
13,0.439
14,0.518
15,0.708
16,0.481
17,0.631
18,0.427
19,0.476
20,0.694
21,0.591
22,0.561
23,0.596
24,0.651
25,0.719
26,0.366
27,0.594
28,0.917
29,0.531
30,0.881
31,0.8
32,0.632
33,0.493
34,0.735
35,0.657
36,0.535
37,0.156
38,0.741
39,0.748
40,0.728
41,0.578
42,0.761
43,0.572
44,0.559
45,0.684
46,0.848
47,0.539
48,0.768
49,0.575
50,0.245
51,0.723
52,0.544
53,0.62
54,0.573
55,0.369
56,0.792
57,0.591
58,0.775
59,0.366
60,0.704
61,0.812
62,0.658
63,0.304
64,0.774
65,0.631
66,0.549
67,0.489
68,0.722
69,0.629
70,0.605
71,0.751
72,0.823
73,0.723
74,0.649
75,0.664
76,0.82
77,0.656
78,0.549
79,0.581
80,0.604
81,0.56
82,0.49
83,0.464
84,0.238
85,0.676
86,0.631
87,0.629
88,0.949
89,0.579
90,0.956
91,0.719
92,0.736
93,0.576
94,0.576
95,0.736
96,0.575
97,0.52
98,0.818
99,0.583
100,0.663
101,0.73
102,0.594
103,0.589
104,0.731
105,0.567
106,0.635
107,0.342
108,0.736
109,0.567
110,0.502
111,0.845
112,0.635
113,0.662
114,0.726
115,0.413
116,0.489
117,0.825
118,0.561
119,0.845
120,0.705
121,0.66
122,0.608
123,0.682
124,0.587
125,0.784
126,0.619
127,0.748
128,0.586
129,0.84
130,0.574
131,0.641
132,0.826
133,0.747
134,0.479
135,0.556
136,0.488
137,0.395
138,0.543
139,0.649
140,0.838
141,0.628
142,0.52
143,0.805
144,0.597
145,0.469
146,0.649
147,0.596
148,0.645
149,0.914
150,0.556
151,0.569
152,0.658
153,0.756
154,0.826
155,0.556
156,0.848
157,0.482
158,0.814
159,0.835
160,0.515
161,0.872
162,0.651
163,0.765
164,0.44
165,0.569
166,0.491
167,0.496
168,0.595
169,0.623
170,0.526
171,0.457
172,0.67
173,0.756
174,0.573
175,0.636
176,0.44
177,0.639
178,0.561
179,0.607
180,0.568
181,0.604
182,0.427
183,0.841
184,0.581
185,0.503
186,0.795
187,0.576
188,0.55
189,0.502
190,0.492
191,0.544
192,0.873
193,0.364
194,0.811
195,0.605
196,0.692
197,0.464
198,0.586
199,0.443
200,0.619
201,0.67
202,0.578
203,0.272
204,0.642
205,0.65
206,0.576
207,0.631
208,
209,0.569
210,0.586
211,0.338
212,0.364
213,0.574
214,0.395
215,0.395
216,0.654
217,0.373
218,0.631
219,0.58
220,0.603
221,0.941
222,0.569
223,0.464
224,0.675
225,0.574
226,0.428
227,0.5
228,0.5
229,0.831
230,0.618
231,0.524
232,0.413
233,0.736
234,0.678
235,0.444
236,0.645
237,0.645
238,0.591
239,0.509
240,0.432
241,0.422
242,0.822
243,0.366
244,0.696
245,0.641
246,0.729
247,0.575
248,0.476
249,0.435
250,0.529
251,0.606
252,0.612
253,0.552
254,0.633
255,0.551
256,0.58
257,0.743
258,0.645
259,0.497
260,0.818
261,0.631
262,0.941
263,0.815
264,0.734
265,0.413
266,0.454
267,0.584
268,0.491
269,0.67
270,
271,0.723
272,0.559
273,0.5
274,0.751
275,0.609
276,0.619
277,0.524
278,0.598
279,0.804
280,0.644
281,0.454
282,0.592
283,0.538
284,0.412
285,0.567
286,0.691
287,0.87
288,0.59
289,0.498
290,0.603
291,0.762
292,0.59
293,0.649
294,0.458
295,0.845
296,0.768
297,0.696
298,0.953
299,0.552
300,0.631
301,0.539
302,0.582
303,0.662
304,0.631
305,0.526
306,0.603
307,0.554
308,0.769
309,0.651
310,0.895
311,0.481
312,0.816
313,0.625
314,0.651
315,0.531
316,0.635
317,0.512
318,0.669
319,0.658
320,0.701
321,0.574
322,0.609
323,0.603
324,0.553
325,0.594
326,0.67
327,0.649
328,0.73
329,0.592
330,0.705
331,0.353
332,0.491
333,
334,0.511
335,0.572
336,0.571
337,0.695
338,0.698
339,0.582
340,0.557
341,0.95
342,0.621
343,0.748
344,0.566
345,0.578
346,0.407
347,0.41
348,0.293
349,0.178
350,0.629
351,0.93
352,0.49
353,0.59
354,0.601
355,0.689
356,0.464
357,0.391
358,0.617
359,0.679
360,0.651
361,0.608
362,0.389
363,0.366
364,0.611
365,0.836
366,0.701
367,0.714
368,0.918
369,0.587
370,0.663
371,0.553
372,0.81
373,0.869
374,0.416
375,0.554
376,0.731
377,0.427
378,0.612
379,0.465
380,0.633
381,0.52
382,0.495
383,0.629
384,0.823
385,0.743
386,0.891
387,0.731
388,0.587
389,0.627
390,0.449
391,0.566
392,0.529
393,0.523
394,0.4
395,0.728
396,0.597
397,0.697
398,0.313
399,0.73
400,0.554
401,0.77
402,0.627
403,0.808
404,0.728
405,0.479
406,0.672
407,0.647
408,0.695
409,0.701
410,0.496
411,0.75
412,0.831
413,0.465
414,0.632
415,0.578
416,0.573
417,0.807
418,0.909
419,0.304
420,0.929
421,0.587
422,0.774
423,0.93
424,0.706
425,0.73
426,0.448
427,0.517
428,0.848
429,0.453
430,0.726
431,0.807
432,0.662
433,0.88
434,0.454
435,0.622
436,0.581
437,0.64
438,0.665
439,0.501
440,0.501
441,0.861
442,0.713
443,0.713
444,0.72
445,0.607
446,0.535
447,0.722
448,0.467
449,0.238
450,0.746
451,0.453
452,0.687
453,0.579
454,0.953
455,0.847
456,0.844
457,0.848
458,0.848
459,0.736
460,0.515
461,0.673
462,0.549
463,0.831
464,0.81
465,0.65
466,0.446
467,0.492
468,0.585
469,0.802
470,0.582
471,0.531
472,0.531
473,0.52
474,0.664
475,0.402
476,0.723
477,0.627
478,0.743
479,0.613
480,0.338
481,0.594
482,0.786
483,0.369
484,0.698
485,0.638
486,0.723
487,0.821
488,0.692
489,0.597
490,0.739
491,0.728
492,0.833
493,0.527
494,0.891
495,0.67
496,0.739
497,0.739
498,0.526
499,0.539
500,0.566
501,0.609
502,0.542
503,0.498
504,0.834
505,0.759
506,0.567
507,0.497
508,0.713
509,0.95
510,0.95
511,0.609
512,0.75
513,0.609
514,0.75
515,0.497
