,instrumentalness
0,0.432
1,6.7e-06
2,6.7e-06
3,0.0
4,0.0
5,3.21e-06
6,4.09e-05
7,0.0903
8,0.00325
9,1.04e-06
10,0.0
11,0.0
12,0.00505
13,0.00194
14,0.0286
15,0.000424
16,0.725
17,0.000579
18,2.55e-05
19,0.0
20,0.000937
21,0.0
22,1.12e-06
23,0.00481
24,0.0
25,1.11e-05
26,0.0
27,0.0
28,0.0
29,0.0501
30,0.0266
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.015
38,0.0258
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.000127
47,0.0
48,1.03e-06
49,0.0
50,0.000813
51,0.000193
52,0.0
53,0.0
54,0.000883
55,7.64e-06
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,3.03e-06
65,0.000579
66,0.0
67,0.0
68,0.0
69,0.0165
70,0.0
71,0.0
72,0.0
73,2.06e-06
74,0.0
75,0.35
76,0.0
77,0.0
78,0.0235
79,5.86e-05
80,6.43e-05
81,0.0
82,0.000421
83,2.62e-05
84,0.00925
85,0.0
86,0.000579
87,0.0165
88,0.0
89,0.0
90,0.0
91,1.11e-05
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,1.16e-06
98,0.0
99,0.0
100,3.45e-06
101,0.0
102,0.0
103,0.0
104,0.00536
105,0.0
106,0.0
107,0.0
108,0.109
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,1.56e-06
115,0.00133
116,0.0
117,6.04e-05
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.01
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.635
134,0.0
135,0.0
136,0.0
137,0.0
138,1.26e-06
139,0.0
140,0.312
141,0.151
142,0.0
143,0.000389
144,0.0404
145,7.32e-05
146,0.0
147,0.00481
148,1.66e-05
149,0.0
150,5.04e-05
151,0.0816
152,0.0
153,0.0
154,0.0
155,5.04e-05
156,0.0
157,0.000202
158,0.0
159,0.0
160,1.22e-05
161,0.0
162,0.0
163,1.5e-05
164,3.02e-05
165,0.0816
166,0.0
167,0.0
168,2.47e-06
169,0.0
170,0.000148
171,0.000331
172,3.3e-06
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,1.12e-06
180,0.00219
181,0.0
182,5.83e-06
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,8.97e-05
189,0.0
190,1.22e-06
191,1.6e-06
192,9.1e-06
193,0.0
194,2.07e-06
195,0.0
196,0.331
197,1.71e-05
198,0.0
199,0.0
200,0.0
201,4.17e-06
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.000579
208,
209,0.0016
210,0.0
211,0.00184
212,0.305
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.000579
219,0.0
220,0.0
221,0.0146
222,0.0016
223,1.71e-05
224,0.0
225,1.65e-05
226,2.35e-06
227,0.0
228,0.0
229,0.0
230,2.44e-06
231,0.0
232,0.0
233,0.109
234,0.0
235,6.44e-05
236,1.66e-05
237,1.66e-05
238,0.0
239,0.0
240,0.0
241,0.0327
242,0.0
243,0.0
244,0.0
245,0.0
246,4.07e-06
247,0.0
248,0.0
249,1.31e-05
250,0.000335
251,0.0
252,0.0
253,0.0
254,0.0
255,5.92e-06
256,1.83e-05
257,4.44e-05
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0146
263,0.0
264,0.0
265,0.00133
266,6.15e-06
267,0.0
268,0.0
269,0.0
270,
271,0.0
272,0.0
273,0.0
274,0.0
275,1.17e-05
276,1.67e-06
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0126
285,0.0
286,0.0
287,2.82e-06
288,0.0
289,5.98e-06
290,0.0
291,0.00244
292,8.9e-06
293,0.0
294,0.000103
295,0.0
296,0.0
297,0.000119
298,0.0
299,0.334
300,0.0
301,0.0
302,5.84e-06
303,0.0
304,0.0
305,0.00104
306,0.0
307,0.0
308,0.0101
309,0.0
310,1.13e-05
311,0.0
312,0.0
313,0.0
314,0.000433
315,0.000106
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,1.65e-05
322,1.61e-05
323,0.0
324,0.0
325,1.46e-05
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,
334,0.0
335,0.0
336,0.0
337,0.00202
338,0.0
339,0.0
340,0.0
341,0.395
342,0.0
343,0.0
344,0.000353
345,0.0
346,0.0
347,0.0
348,0.0724
349,0.0108
350,0.0
351,3.7e-06
352,0.000421
353,0.0
354,0.0
355,0.0
356,2.62e-05
357,0.000406
358,0.0
359,6.98e-05
360,0.0
361,1.2e-05
362,0.162
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0328
369,0.00131
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,3.4e-06
376,0.00536
377,2.55e-05
378,0.0
379,0.0
380,0.000189
381,7.01e-05
382,7.26e-06
383,0.0165
384,0.0
385,0.0
386,0.0
387,1.19e-06
388,0.00131
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.000133
395,0.0
396,0.0
397,0.0
398,0.0
399,3.06e-06
400,3.4e-06
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,1.65e-05
408,0.00124
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,9.7e-05
419,0.0
420,0.201
421,0.0
422,3.03e-06
423,0.393
424,0.0
425,3.06e-06
426,0.0
427,0.0
428,0.0
429,0.0
430,1.56e-06
431,0.0
432,0.0
433,0.0
434,0.000422
435,4.24e-06
436,5.86e-05
437,0.0
438,0.0
439,0.0
440,0.0
441,7e-05
442,0.000175
443,0.000175
444,0.0
445,0.000228
446,0.0
447,6.34e-06
448,3.32e-05
449,0.00925
450,0.0087
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.905
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0235
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.00278
474,0.35
475,6.77e-05
476,0.0
477,0.0
478,0.0
479,0.0
480,5.7e-05
481,0.0
482,0.0
483,3.75e-05
484,0.0
485,0.0
486,0.0
487,0.0
488,0.331
489,0.0
490,7.61e-06
491,0.0
492,0.445
493,0.0
494,0.0
495,4.17e-06
496,7.61e-06
497,7.61e-06
498,0.00174
499,0.0
500,0.0
501,1.17e-05
502,0.0
503,4.47e-06
504,9.48e-05
505,0.0
506,0.0
507,0.0
508,0.000175
509,0.395
510,0.395
511,1.6e-05
512,0.0
513,1.6e-05
514,0.0
515,8.6e-05
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.00012
525,0.918
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.00184
532,0.000108
533,0.0407
534,0.0
535,0.0
536,0.000174
537,0.0
538,0.01
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.000406
545,0.0
546,0.00986
547,0.000133
548,0.000335
549,0.00285
550,0.0
551,
552,1.22e-05
553,0.0
554,0.305
555,0.0
556,0.707
557,0.000119
558,0.0
559,0.0185
560,0.0
561,0.000496
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.312
568,0.0
569,0.0
570,0.0
571,0.0
572,0.00986
573,0.0
574,0.0
575,0.0
576,0.0
577,1.88e-05
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.000127
585,0.0
586,3.7e-06
587,0.0
588,1.65e-05
589,0.0
590,0.0
591,0.0
592,0.00536
593,9.7e-05
594,0.0
595,0.0
596,0.0
597,5e-05
598,1.78e-05
599,1.31e-05
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.564
609,0.155
610,1.12e-06
611,1.07e-05
612,0.0108
613,0.0
614,0.0
615,9.26e-05
616,0.0
617,0.0087
618,0.0
619,0.0
620,7.01e-05
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,1.67e-06
629,0.0258
630,0.0
631,0.0
632,0.0
633,1.26e-06
634,0.0
635,0.0016
636,0.0
637,0.0
638,6.87e-05
639,0.0
640,0.0
641,0.000152
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,2.57e-05
654,0.0
655,0.0652
656,0.0
657,0.0
658,0.0
659,0.000187
660,7.08e-06
661,0.00031
662,7.26e-06
663,0.0
664,0.0
665,1.71e-05
666,0.0
667,0.00016
668,0.0
669,0.0
670,0.0
671,0.151
672,0.0
673,0.0
674,
675,0.000181
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,1.96e-05
682,0.0
683,0.0
684,0.0
685,0.0129
686,0.0
687,
688,0.0
689,0.0
690,0.0
691,0.0
692,2.62e-05
693,1.2e-05
694,3.32e-05
695,0.369
696,0.421
697,3.3e-06
698,0.0
699,0.0
700,8.33e-06
701,0.0
702,0.0
703,4.44e-05
704,1.46e-05
705,0.0766
706,0.0
707,0.0
708,0.0
709,0.00488
710,6.43e-05
711,0.0
712,0.0
713,0.0766
714,0.0816
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,6.99e-05
727,0.0
728,0.0
729,0.0
730,0.0
731,6.99e-05
732,0.0
733,0.00284
734,2.22e-06
735,0.0
736,0.0
737,1.66e-05
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,1.31e-05
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,1.6e-06
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,1.19e-06
766,0.0
767,0.000389
768,0.0
769,0.0
770,0.0892
771,1.31e-05
772,0.000127
773,4.26e-05
774,0.000225
775,0.0
776,0.000276
777,0.0
778,0.0
779,0.0
780,5.39e-05
781,1.22e-05
782,8.6e-05
783,0.000883
784,0.0
785,0.0155
786,0.0
787,0.0
788,0.842
789,0.000423
790,0.0
791,0.000238
792,0.00598
793,0.00986
794,4.05e-06
795,0.0
796,0.000106
797,0.0
798,0.0
799,0.0
800,0.00622
801,0.0
802,0.0
803,0.312
804,0.0
805,0.0
806,0.0
807,2.63e-06
808,0.000108
809,0.0
810,0.0
811,0.000154
812,0.000148
813,0.0
814,0.0
815,0.0
816,1.26e-06
817,0.0
818,0.0
819,0.0
820,0.00178
821,0.0
822,0.01
823,0.0
824,0.0
825,0.0
826,0.00131
827,0.0
828,6.72e-06
829,0.0816
830,0.0
831,0.0
832,0.0
833,0.0
834,2.6e-06
835,0.0
836,0.0
837,0.329
838,
839,0.0
840,4.1e-06
841,0.0
842,1.16e-06
843,0.0
844,0.000813
845,0.0
846,0.0
847,0.000193
848,0.0
849,0.0
850,
851,1.13e-06
852,0.000678
853,0.0
854,1.16e-06
855,0.0
856,0.0
857,0.0
858,0.0
859,
860,0.000748
861,0.0
862,0.0
863,0.564
864,0.0
865,9.26e-05
866,0.0
867,0.0
868,0.000238
869,0.0
870,0.00012
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0032
876,0.000103
877,0.0
878,0.0
879,0.0
880,0.0
881,1.83e-05
882,0.0
883,0.0
884,0.0328
885,0.000433
886,0.0
887,0.000174
888,0.0134
889,0.0
890,1.78e-05
891,0.0
892,0.0
893,0.0
894,0.015
895,0.0
896,0.0
897,0.000353
898,0.0
899,7.61e-06
900,0.0
901,0.00986
902,0.0
903,0.162
904,1.11e-05
905,5.05e-05
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.109
912,0.0
913,1.55e-05
914,3.46e-06
915,0.0
916,7e-05
917,0.0
918,0.0
919,5.7e-05
920,0.838
921,0.0
922,0.0
923,0.0
924,7.32e-05
925,0.0
926,0.0
927,0.0
928,0.0
929,0.00174
930,1.12e-06
931,0.0
932,0.0
933,0.0
934,2.47e-06
935,0.0
936,0.393
937,0.0
938,0.0
939,0.0
940,0.000307
941,0.0
942,0.0
943,0.0
944,0.0
945,0.000496
946,0.0
947,0.0
948,5.84e-05
949,0.0114
950,0.0
951,0.0
952,3.97e-05
953,0.0
954,0.0
955,0.0
956,0.0
957,0.00488
958,0.0
959,0.0
960,1.6e-05
961,3.7e-06
962,3.75e-05
963,5.83e-06
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.00174
974,1.71e-05
975,0.0
976,0.0
977,0.00278
978,0.0
979,0.331
980,0.00481
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,2.57e-05
987,
988,1.71e-05
989,0.0
990,0.0
991,0.0
992,0.0
993,3.63e-05
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,4.96e-06
1003,
1004,2.07e-06
1005,0.0
1006,0.0
1007,6.43e-05
1008,0.0
1009,0.0
1010,0.000443
1011,0.0
1012,0.922
1013,0.0
1014,0.0
1015,0.0
1016,3.3e-06
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.00681
1022,0.0
1023,0.0
1024,0.0
1025,5.39e-05
1026,0.0
1027,7.64e-06
1028,0.0
1029,0.101
1030,0.0
1031,0.0
1032,3.03e-06
1033,0.0
1034,0.0
1035,0.0
1036,0.00193
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0012
1049,0.000187
1050,0.0
1051,0.0
1052,0.000289
1053,0.0
1054,0.000153
1055,0.000106
1056,0.0
1057,0.0
1058,4.17e-06
1059,3.02e-05
1060,2.62e-05
1061,0.0
1062,1.31e-05
1063,0.0
1064,0.0
1065,0.35
1066,0.887
1067,0.0803
1068,0.0
1069,0.000859
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.312
1080,1.11e-05
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,3.46e-06
1089,7.79e-05
1090,0.0
1091,0.01
1092,0.0
1093,0.0
1094,0.0
1095,0.00372
1096,0.00819
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.000684
1105,0.0
1106,0.0
1107,2.77e-06
1108,0.0
1109,0.0
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,4.05e-06
1116,0.0
1117,0.000189
1118,0.0
1119,0.000238
1120,0.0
1121,0.000307
1122,0.0
1123,0.0
1124,0.0
1125,0.811
1126,0.0
1127,0.0101
1128,0.000371
1129,0.0
1130,0.0
1131,0.887
1132,0.887
1133,0.0
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
