,liveness
0,0.106
1,0.111
2,0.0921
3,0.251
4,0.349
5,0.081
6,0.113
7,0.0858
8,0.331
9,0.151
10,0.0831
11,0.0928
12,0.0791
13,0.367
14,0.114
15,0.788
16,0.0869
17,0.165
18,0.111
19,0.199
20,0.133
21,0.196
22,0.0338
23,0.0805
24,0.0772
25,0.107
26,0.261
27,0.118
28,0.0916
29,0.238
30,0.111
31,0.147
32,0.621
33,0.156
34,0.145
35,0.154
36,0.0981
37,0.102
38,0.114
39,0.0798
40,0.132
41,0.13
42,0.091
43,0.113
44,0.379
45,0.179
46,0.172
47,0.0966
48,0.127
49,0.256
50,0.127
51,0.213
52,0.17
53,0.15
54,0.109
55,0.383
56,0.666
57,0.196
58,0.701
59,0.261
60,0.184
61,0.348
62,0.111
63,0.112
64,0.114
65,0.165
66,0.0916
67,0.411
68,0.247
69,0.447
70,0.329
71,0.127
72,0.361
73,0.126
74,0.0884
75,0.133
76,0.149
77,0.115
78,0.127
79,0.105
80,0.124
81,0.111
82,0.115
83,0.603
84,0.275
85,0.0863
86,0.165
87,0.447
88,0.417
89,0.102
90,0.46
91,0.107
92,0.159
93,0.143
94,0.143
95,0.159
96,0.313
97,0.454
98,0.74
99,0.204
100,0.274
101,0.124
102,0.1
103,0.119
104,0.223
105,0.382
106,0.319
107,0.193
108,0.11
109,0.382
110,0.144
111,0.415
112,0.319
113,0.127
114,0.115
115,0.101
116,0.159
117,0.0899
118,0.187
119,0.0947
120,0.246
121,0.134
122,0.406
123,0.122
124,0.111
125,0.0671
126,0.113
127,0.0798
128,0.132
129,0.138
130,0.156
131,0.665
132,0.137
133,0.0772
134,0.135
135,0.144
136,0.156
137,0.109
138,0.178
139,0.122
140,0.101
141,0.12
142,0.109
143,0.408
144,0.195
145,0.099
146,0.122
147,0.0805
148,0.0668
149,0.744
150,0.527
151,0.1
152,0.111
153,0.247
154,0.137
155,0.527
156,0.121
157,0.0839
158,0.16
159,0.409
160,0.0888
161,0.136
162,0.139
163,0.0779
164,0.11
165,0.1
166,0.0992
167,0.252
168,0.13
169,0.13
170,0.124
171,0.146
172,0.366
173,0.0582
174,0.119
175,0.105
176,0.198
177,0.0698
178,0.133
179,0.123
180,0.513
181,0.091
182,0.21
183,0.242
184,0.183
185,0.13
186,0.307
187,0.08
188,0.11
189,0.144
190,0.14
191,0.08
192,0.0824
193,0.271
194,0.362
195,0.329
196,0.603
197,0.238
198,0.0755
199,0.276
200,0.323
201,0.0662
202,0.13
203,0.126
204,0.105
205,0.111
206,0.08
207,0.165
208,
209,0.056
210,0.0755
211,0.14
212,0.195
213,0.274
214,0.109
215,0.109
216,0.138
217,0.368
218,0.165
219,0.111
220,0.112
221,0.132
222,0.056
223,0.238
224,0.344
225,0.336
226,0.278
227,0.077
228,0.077
229,0.118
230,0.33
231,0.2
232,0.111
233,0.11
234,0.344
235,0.173
236,0.0668
237,0.0668
238,0.1
239,0.489
240,0.146
241,0.108
242,0.742
243,0.0964
244,0.0554
245,0.665
246,0.44
247,0.313
248,0.213
249,0.342
250,0.0856
251,0.281
252,0.213
253,0.0952
254,0.389
255,0.134
256,0.057
257,0.137
258,0.119
259,0.138
260,0.74
261,0.0806
262,0.132
263,0.0804
264,0.293
265,0.101
266,0.114
267,0.165
268,0.101
269,0.114
270,
271,0.41
272,0.101
273,0.077
274,0.318
275,0.107
276,0.11
277,0.2
278,0.154
279,0.204
280,0.116
281,0.285
282,0.124
283,0.196
284,0.104
285,0.0884
286,0.141
287,0.246
288,0.11
289,0.795
290,0.0924
291,0.0863
292,0.329
293,0.101
294,0.0852
295,0.415
296,0.254
297,0.121
298,0.331
299,0.104
300,0.5
301,0.0966
302,0.0916
303,0.127
304,0.132
305,0.0984
306,0.103
307,0.132
308,0.104
309,0.0896
310,0.622
311,0.241
312,0.159
313,0.129
314,0.108
315,0.0812
316,0.0946
317,0.0899
318,0.127
319,0.0927
320,0.208
321,0.336
322,0.179
323,0.113
324,0.0694
325,0.115
326,0.114
327,0.122
328,0.113
329,0.0788
330,0.246
331,0.102
332,0.111
333,
334,0.14
335,0.175
336,0.1
337,0.194
338,0.221
339,0.115
340,0.0662
341,0.109
342,0.161
343,0.165
344,0.0917
345,0.151
346,0.082
347,0.107
348,0.148
349,0.122
350,0.0692
351,0.18
352,0.115
353,0.236
354,0.0928
355,0.0729
356,0.603
357,0.129
358,0.734
359,0.465
360,0.0772
361,0.078
362,0.106
363,0.21
364,0.105
365,0.29
366,0.0851
367,0.145
368,0.113
369,0.0309
370,0.108
371,0.117
372,0.133
373,0.344
374,0.146
375,0.116
376,0.223
377,0.111
378,0.198
379,0.097
380,0.139
381,0.131
382,0.0979
383,0.447
384,0.361
385,0.183
386,0.134
387,0.129
388,0.0309
389,0.106
390,0.113
391,0.34
392,0.0884
393,0.0842
394,0.334
395,0.132
396,0.152
397,0.1
398,0.19
399,0.11
400,0.116
401,0.229
402,0.0795
403,0.207
404,0.149
405,0.107
406,0.368
407,0.095
408,0.124
409,0.242
410,0.156
411,0.109
412,0.118
413,0.28
414,0.0646
415,0.359
416,0.464
417,0.116
418,0.119
419,0.112
420,0.11
421,0.148
422,0.114
423,0.497
424,0.352
425,0.11
426,0.0914
427,0.143
428,0.121
429,0.116
430,0.115
431,0.116
432,0.534
433,0.128
434,0.0896
435,0.122
436,0.105
437,0.209
438,0.219
439,0.316
440,0.316
441,0.164
442,0.431
443,0.431
444,0.0546
445,0.118
446,0.0942
447,0.111
448,0.206
449,0.275
450,0.427
451,0.14
452,0.158
453,0.0952
454,0.331
455,0.0816
456,0.0599
457,0.121
458,0.121
459,0.198
460,0.235
461,0.133
462,0.127
463,0.118
464,0.133
465,0.568
466,0.166
467,0.382
468,0.132
469,0.241
470,0.35
471,0.224
472,0.224
473,0.108
474,0.133
475,0.123
476,0.144
477,0.0795
478,0.183
479,0.267
480,0.0649
481,0.118
482,0.127
483,0.0925
484,0.106
485,0.111
486,0.41
487,0.139
488,0.603
489,0.0866
490,0.102
491,0.149
492,0.178
493,0.296
494,0.134
495,0.0662
496,0.102
497,0.102
498,0.0571
499,0.0966
500,0.34
501,0.107
502,0.126
503,0.139
504,0.0924
505,0.167
506,0.0884
507,0.11
508,0.431
509,0.109
510,0.109
511,0.111
512,0.174
513,0.111
514,0.174
515,0.101
516,0.163
517,0.111
518,0.132
519,0.117
520,0.124
521,0.0851
522,0.224
523,0.158
524,0.0964
525,0.101
526,0.464
527,0.219
528,0.241
529,0.105
530,0.113
531,0.14
532,0.247
533,0.126
534,0.0756
535,0.15
536,0.0705
537,0.0898
538,0.111
539,0.189
540,0.122
541,0.107
542,0.136
543,0.0521
544,0.129
545,0.102
546,0.248
547,0.334
548,0.0856
549,0.33
550,0.16
551,
552,0.0888
553,0.217
554,0.195
555,0.168
556,0.356
557,0.121
558,0.128
559,0.114
560,0.138
561,0.099
562,0.0896
563,0.0637
564,0.138
565,0.174
566,0.339
567,0.101
568,0.113
569,0.156
570,0.152
571,0.706
572,0.248
573,0.117
574,0.0952
575,0.247
576,0.198
577,0.355
578,0.154
579,0.345
580,0.22
581,0.0729
582,0.0868
583,0.374
584,0.172
585,0.153
586,0.0876
587,0.0632
588,0.095
589,0.181
590,0.104
591,0.116
592,0.223
593,0.119
594,0.183
595,0.0622
596,0.152
597,0.119
598,0.165
599,0.342
600,0.151
601,0.106
602,0.133
603,0.338
604,0.23
605,0.149
606,0.187
607,0.126
608,0.192
609,0.0471
610,0.123
611,0.0725
612,0.122
613,0.63
614,0.0631
615,0.226
616,0.104
617,0.427
618,0.154
619,0.12
620,0.131
621,0.308
622,0.542
623,0.132
624,0.115
625,0.242
626,0.0816
627,0.0817
628,0.11
629,0.114
630,0.077
631,0.193
632,0.666
633,0.115
634,0.0599
635,0.056
636,0.226
637,0.406
638,0.0986
639,0.0884
640,0.219
641,0.103
642,0.0806
643,0.253
644,0.117
645,0.15
646,0.112
647,0.135
648,0.323
649,0.0992
650,0.123
651,0.785
652,0.08
653,0.0895
654,0.115
655,0.384
656,0.107
657,0.415
658,0.121
659,0.116
660,0.103
661,0.0543
