,loudness
0,-6.629
1,-3.097
2,-6.9
3,-7.947
4,-6.733
5,-5.41
6,-4.808
7,-10.623
8,-3.553
9,-1.786
10,-3.442
11,-8.193
12,-4.64
13,-8.771
14,-8.949
15,-5.896
16,-10.458
17,-5.718
18,-9.777
19,-7.864
20,-4.912
21,-4.895
22,-5.513
23,-8.214
24,-8.044
25,-8.084
26,-9.954
27,-6.264
28,-4.695
29,-6.636
30,-5.875
31,-2.665
32,-7.491
33,-7.146
34,-6.079
35,-4.569
36,-8.197
37,-10.7
38,-6.082
39,-5.093
40,-3.801
41,-5.72
42,-4.727
43,-6.067
44,-5.216
45,-4.748
46,-4.51
47,-9.238
48,-6.21
49,-7.823
50,-15.617
51,-4.31
52,-5.065
53,-6.667
54,-6.408
55,-10.044
56,-6.644
57,-4.895
58,-4.986
59,-9.954
60,-3.895
61,-4.257
62,-6.142
63,-16.441
64,-5.125
65,-5.718
66,-7.165
67,-8.411
68,-7.456
69,-11.325
70,-4.223
71,-4.063
72,-5.313
73,-5.45
74,-5.594
75,-5.474
76,-5.969
77,-7.086
78,-10.551
79,-7.495
80,-7.357
81,-8.094
82,-8.066
83,-8.531
84,-12.148
85,-7.033
86,-5.718
87,-11.325
88,-4.22
89,-6.788
90,-1.538
91,-8.084
92,-4.612
93,-5.687
94,-5.687
95,-4.612
96,-4.995
97,-8.353
98,-11.361
99,-7.466
100,-5.803
101,-3.714
102,-6.579
103,-1.218
104,-5.582
105,-6.718
106,-7.565
107,-8.677
108,-5.596
109,-6.718
110,-7.187
111,0.175
112,-7.565
113,-6.482
114,-3.813
115,-9.81
116,-8.772
117,-3.517
118,-5.105
119,-5.068
120,-4.547
121,-7.599
122,-4.8
123,-5.197
124,-7.395
125,-6.962
126,-5.56
127,-5.093
128,-6.946
129,-4.35
130,-3.509
131,-7.673
132,-5.202
133,-4.932
134,-8.054
135,-8.356
136,-6.223
137,-8.752
138,-8.879
139,-8.433
140,-7.486
141,-5.117
142,-5.498
143,-5.732
144,-7.499
145,-5.946
146,-8.433
147,-8.214
148,-7.45
149,-4.747
150,-7.214
151,-8.151
152,-6.142
153,-7.16
154,-5.202
155,-7.214
156,-4.234
157,-9.98
158,-4.575
159,-3.451
160,-10.358
161,-5.392
162,-9.457
163,-6.299
164,-8.559
165,-8.151
166,-6.406
167,-6.365
168,-6.062
169,-6.553
170,-5.046
171,-6.081
172,-7.299
173,-5.453
174,-6.002
175,-4.265
176,-7.861
177,-7.119
178,-4.869
179,-7.397
180,-3.825
181,-6.741
182,-8.764
183,-4.831
184,-5.164
185,-7.218
186,-6.188
187,-11.845
188,-7.795
189,-7.187
190,-4.692
191,-7.92
192,-3.067
193,-11.713
194,-4.278
195,-4.223
196,-8.045
197,-9.789
198,-6.883
199,-8.216
200,-7.32
201,-5.177
202,-5.72
203,-7.793
204,-3.87
205,-4.137
206,-11.845
207,-5.718
208,
209,-6.068
210,-6.883
211,-9.892
212,-7.635
213,-5.695
214,-8.752
215,-8.752
216,-5.895
217,-5.532
218,-5.718
219,-6.519
220,-5.671
221,-5.977
222,-6.068
223,-9.789
224,-9.476
225,-6.104
226,-11.332
227,-10.08
228,-10.08
229,-4.75
230,-8.214
231,-6.807
232,-8.193
233,-5.596
234,-7.771
235,-8.692
236,-7.45
237,-7.45
238,-8.504
239,-8.494
240,-8.04
241,-10.381
242,-4.483
243,-10.051
244,-5.572
245,-7.673
246,-6.815
247,-4.995
248,-8.951
249,-7.033
250,-7.226
251,-5.286
252,-6.02
253,-9.373
254,-5.8
255,-6.144
256,-7.92
257,-5.446
258,-6.181
259,-6.542
260,-11.361
261,-8.206
262,-5.977
263,-4.741
264,-4.993
265,-9.81
266,-9.75
267,-6.838
268,-6.645
269,-6.702
270,
271,-7.179
272,-7.442
273,-10.08
274,-5.429
275,-6.019
276,-6.899
277,-6.807
278,-5.368
279,-4.614
280,-6.042
281,-6.753
282,-6.745
283,-5.408
284,-8.074
285,-4.653
286,-3.888
287,-6.103
288,-6.508
289,-8.866
290,-5.788
291,-3.497
292,-5.716
293,-6.083
294,-11.336
295,0.175
296,-3.73
297,-4.972
298,-4.162
299,-10.278
300,-4.751
301,-9.238
302,-4.141
303,-6.482
304,-5.884
305,-7.216
306,-9.148
307,-7.909
308,-5.043
309,-5.515
310,-1.047
311,-5.415
312,-5.402
313,-7.426
314,-5.661
315,-7.51
316,-4.904
317,-6.814
318,-5.791
319,-6.297
320,-6.336
321,-6.104
322,-7.555
323,-6.736
324,-8.98
325,-5.191
326,-6.702
327,-8.433
328,-6.324
329,-7.221
330,-4.547
331,-9.931
332,-8.807
333,
334,-4.768
335,-7.101
336,-7.539
337,-8.636
338,-5.464
339,-7.491
340,-8.835
341,-5.118
342,-6.679
343,-5.708
344,-7.16
345,-4.704
346,-8.804
347,-8.156
348,-7.479
349,-8.56
350,-5.568
351,-5.179
352,-8.066
353,-8.214
354,-5.628
355,-5.68
356,-8.531
357,-10.6
358,-9.32
359,-5.614
360,-8.044
361,-10.567
362,-14.505
363,-10.858
364,-5.256
365,-6.364
366,-6.054
367,-4.696
368,-4.912
369,-5.721
370,-5.606
371,-7.294
372,-3.793
373,-2.105
374,-6.823
375,-6.571
376,-5.582
377,-9.777
378,-4.387
379,-5.655
380,-7.471
381,-6.136
382,-5.661
383,-11.325
384,-5.313
385,-2.806
386,-6.457
387,-5.085
388,-5.721
389,-4.064
390,-7.507
391,-7.23
392,-3.785
393,-6.664
394,-11.212
395,-3.801
396,-6.794
397,-6.456
398,-13.672
399,-7.985
400,-6.571
401,-6.368
402,-8.744
403,-3.158
404,-3.37
405,-4.122
406,-5.505
407,-7.258
408,-6.798
409,-4.234
410,-4.139
411,-6.366
412,-4.75
413,-6.29
414,-7.598
415,-5.144
416,-7.339
417,-2.135
418,-6.474
419,-16.441
420,-6.667
421,-5.075
422,-5.125
423,-3.961
424,-5.709
425,-7.985
426,-7.272
427,-5.426
428,-4.234
429,-7.28
430,-3.813
431,-2.135
432,-6.903
433,-2.384
434,-9.932
435,-7.384
436,-7.495
437,-6.272
438,-7.055
439,-7.463
440,-7.463
441,-8.846
442,-3.625
443,-3.625
444,-5.991
445,-6.916
446,-4.054
447,-5.07
448,-6.293
449,-12.148
450,-5.249
451,-6.941
452,-3.744
453,-5.024
454,-4.162
455,-3.237
456,-5.088
457,-4.234
458,-4.234
459,-3.863
460,-8.306
461,-5.792
462,-10.551
463,-4.75
464,-3.793
465,-6.978
466,-8.9
467,-9.736
468,-6.914
469,-2.655
470,-7.323
471,-7.355
472,-7.355
473,-11.265
474,-5.474
475,-9.292
476,-6.145
477,-8.744
478,-4.201
479,-6.13
480,-7.634
481,-5.453
482,-4.884
483,-13.424
484,-6.525
485,-4.713
486,-7.179
487,-2.864
488,-8.045
489,-7.809
490,-6.633
491,-3.37
492,-4.047
493,-6.93
494,-6.457
495,-5.177
496,-6.633
497,-6.633
498,-5.153
499,-9.238
500,-7.23
501,-6.019
502,-7.358
503,-13.147
504,-8.21
505,-5.667
506,-4.653
507,-7.405
508,-3.625
509,-5.118
510,-5.118
511,-5.978
512,-4.009
513,-5.978
514,-4.009
515,-5.785
516,-8.823
517,-6.142
518,-7.909
519,-6.809
520,-6.745
521,-6.238
522,-4.443
523,-5.181
524,-7.544
525,-2.939
526,-7.339
527,-7.055
528,-5.415
529,-3.87
530,-6.274
531,-9.892
532,-5.43
533,-4.508
534,-5.099
535,-7.043
536,-7.108
537,-5.009
538,-7.395
539,-8.84
540,-4.045
541,-8.156
542,-9.008
543,-5.905
544,-10.6
545,-6.788
546,-5.266
547,-11.212
548,-7.226
549,-3.626
550,-4.575
551,
552,-10.358
553,-7.485
554,-7.635
555,-3.813
556,-6.97
557,-4.972
558,-7.518
559,-6.63
560,-6.542
561,-6.349
562,-5.515
563,-6.807
564,-7.092
565,-5.077
566,-7.26
567,-7.486
568,-7.507
569,-7.146
570,-5.831
571,-5.397
572,-5.266
573,-7.738
574,-9.373
575,-7.16
576,-7.861
577,-10.589
578,-6.688
579,-8.446
580,-2.286
581,-5.68
582,-6.368
583,-4.172
584,-4.51
585,-5.122
586,-6.346
587,-3.962
588,-7.258
589,-8.316
590,-3.618
591,-7.622
592,-5.582
593,-6.474
594,-2.806
595,-7.883
596,-6.794
597,-10.355
598,-6.087
599,-7.033
600,-5.005
601,-5.213
602,-8.476
603,-6.987
604,-4.566
605,-5.884
606,-5.105
607,-5.467
608,-1.398
609,-3.493
610,-7.397
611,-9.212
612,-8.56
613,-5.873
614,-4.633
615,-7.429
616,-2.235
617,-5.249
618,-6.338
619,-6.332
620,-6.136
621,-4.389
622,-4.425
623,-8.084
624,-5.541
625,-4.234
626,-5.498
627,-5.333
628,-6.899
629,-6.082
630,-5.899
631,-5.415
632,-6.644
633,-7.44
634,-8.575
635,-6.068
636,-3.804
637,-4.8
638,-3.253
639,-3.785
640,-6.941
641,-9.74
642,-8.206
643,-4.961
644,-7.353
645,-6.667
646,-8.012
647,-4.156
648,-7.32
649,-8.053
650,-6.146
651,-6.672
652,-11.845
653,-7.351
654,-5.541
655,-11.777
656,-2.708
657,0.175
658,-4.892
659,-5.318
660,-5.896
661,-3.323
662,-5.661
663,-4.393
664,-6.199
665,-9.789
666,-7.335
667,-6.806
668,-4.188
669,-5.563
670,-6.324
671,-5.117
672,-4.183
673,-5.065
674,
675,-4.888
676,-8.767
677,-7.539
678,-6.272
679,-5.662
680,-8.65
681,-10.881
682,-6.579
683,-8.461
684,-2.105
685,-5.64
686,-6.741
687,
688,-13.672
689,-5.628
690,-4.257
691,-6.054
692,-8.531
693,-10.567
694,-6.293
695,-11.104
696,-9.108
697,-7.299
698,-5.963
699,-4.993
700,-6.741
701,-8.804
702,-6.508
703,-5.446
704,-5.191
705,-2.878
706,-10.131
707,-4.748
708,-5.464
709,-7.73
710,-7.357
711,-8.494
712,-10.131
713,-2.878
714,-8.151
715,-5.808
716,-7.16
717,-3.509
718,-5.837
719,-5.363
720,-7.059
721,-11.199
722,-4.156
723,-5.667
724,-8.06
725,-5.85
726,-6.245
727,-9.457
728,-5.405
729,-5.408
730,-5.68
731,-6.245
732,-5.252
733,-6.42
734,-8.217
735,-9.457
736,-7.426
737,-7.45
738,-6.745
739,-6.525
740,-4.172
741,-6.142
742,-7.16
743,-7.033
744,-8.316
745,-7.639
746,-4.935
747,-5.48
748,-8.446
749,-6.978
750,-5.667
751,-5.696
752,-4.833
753,-10.382
754,-7.187
755,-7.92
756,-6.903
757,-6.718
758,-5.788
759,-4.921
760,-6.781
761,-6.199
762,-7.956
763,-4.768
764,-5.969
765,-5.085
766,-7.861
767,-5.732
768,-5.498
769,-2.459
770,-22.282
771,-15.268
772,-4.51
773,-4.965
774,-12.565
775,-5.16
776,-13.378
777,-8.469
778,-4.139
779,-6.138
780,-6.638
781,-10.358
782,-5.785
783,-6.408
784,-8.04
785,-3.739
786,-4.711
787,-7.323
788,-3.422
789,-11.262
790,-7.466
791,-8.443
792,-7.458
793,-5.266
794,-3.69
795,-8.888
796,-5.396
797,-4.751
798,-6.081
799,-3.922
800,-3.386
801,-7.26
802,-5.102
803,-7.486
804,-7.221
805,-4.653
806,-5.164
807,-7.371
808,-5.43
809,-7.259
810,0.175
811,-8.975
812,-5.046
813,-6.793
814,-7.823
815,-3.251
816,-8.879
817,-5.415
818,-6.55
819,-6.336
820,-17.341
821,-8.808
822,-7.395
823,-6.962
824,-4.045
825,-4.614
826,-8.393
827,-6.101
828,-6.122
829,-8.151
830,-5.609
831,-6.745
832,-7.042
833,-3.618
834,-5.145
835,-5.26
836,-2.655
837,-3.799
838,
839,-3.909
840,-4.245
841,-6.746
842,-8.353
843,-6.332
844,-15.617
845,-5.585
846,-5.48
847,-4.31
848,-6.554
849,-6.687
850,
851,-5.146
852,-7.955
853,-6.914
854,-4.513
855,-8.054
856,-4.963
857,-5.482
858,-4.695
859,
860,-7.513
861,-5.944
862,-5.197
863,-1.398
864,-5.919
865,-7.429
866,-6.414
867,-9.457
868,-8.443
869,-7.877
870,-7.544
871,-5.077
872,-3.714
873,-8.197
874,-8.951
875,-12.049
876,-11.336
877,-5.381
878,-3.395
879,-4.921
880,-4.669
881,-7.92
882,-5.709
883,-5.515
884,-4.912
885,-5.661
886,-6.814
887,-7.108
888,-2.192
889,-7.491
890,-6.087
891,-8.306
892,-5.831
893,-4.768
894,-10.7
895,-4.443
896,-8.65
897,-7.16
898,-5.873
899,-6.633
900,-7.428
901,-5.266
902,-5.415
903,-14.505
904,-5.288
905,-8.28
906,-8.191
907,-1.218
908,-9.004
909,-7.491
910,-7.055
911,-5.596
912,-8.04
913,-6.495
914,-5.932
915,-4.8
916,-8.846
917,-6.862
918,-6.297
919,-7.634
920,-3.947
921,-8.677
922,-3.451
923,-6.775
924,-5.946
925,-6.718
926,-5.541
927,-3.37
928,-6.406
929,-5.153
930,-5.513
931,-4.052
932,-6.02
933,-6.489
934,-6.062
935,-3.237
936,-3.961
937,-6.332
938,-9.238
939,-7.565
940,-5.914
941,-7.16
942,-7.601
943,-6.542
944,-8.206
945,-6.349
946,-9.148
947,-7.891
948,-10.615
949,-8.067
950,-4.188
951,-8.484
952,-14.084
953,-8.04
954,-3.895
955,-7.049
956,-7.598
957,-7.73
958,-8.587
959,-2.105
960,-5.978
961,-5.179
962,-13.424
963,-8.764
964,-6.008
965,-7.373
966,-3.368
967,-3.509
968,-5.905
969,-4.633
970,-6.192
971,-6.117
972,-7.678
973,-5.153
974,-3.284
975,-3.225
976,-5.895
977,-11.265
978,-7.891
979,-8.045
980,-8.214
981,-8.084
982,-7.146
983,-9.931
984,-5.429
985,-8.587
986,-7.351
987,
988,-3.284
989,-6.901
990,-7.645
991,-5.239
992,-6.941
993,-3.997
994,-5.481
995,-8.461
996,-4.566
997,-8.084
998,-3.738
