,popularity
0,64.0
1,69.0
2,90.0
3,61.0
4,44.0
5,28.0
6,65.0
7,71.0
8,75.0
9,74.0
10,80.0
11,69.0
12,60.0
13,57.0
14,61.0
15,74.0
16,69.0
17,83.0
18,58.0
19,62.0
20,56.0
21,82.0
22,72.0
23,73.0
24,75.0
25,63.0
26,72.0
27,60.0
28,27.0
29,61.0
30,76.0
31,77.0
32,57.0
33,61.0
34,1.0
35,76.0
36,56.0
37,74.0
38,26.0
39,59.0
40,67.0
41,70.0
42,57.0
43,79.0
44,66.0
45,72.0
46,69.0
47,68.0
48,65.0
49,57.0
50,60.0
51,65.0
52,61.0
53,79.0
54,58.0
55,61.0
56,53.0
57,82.0
58,59.0
59,72.0
60,58.0
61,50.0
62,81.0
63,70.0
64,49.0
65,83.0
66,47.0
67,67.0
68,39.0
69,56.0
70,69.0
71,50.0
72,67.0
73,73.0
74,48.0
75,71.0
76,61.0
77,59.0
78,76.0
79,76.0
80,68.0
81,81.0
82,48.0
83,63.0
84,75.0
85,67.0
86,83.0
87,56.0
88,53.0
89,73.0
90,83.0
91,63.0
92,78.0
93,66.0
94,66.0
95,78.0
96,50.0
97,60.0
98,38.0
99,61.0
100,47.0
101,85.0
102,50.0
103,70.0
104,51.0
105,70.0
106,76.0
107,78.0
108,66.0
109,70.0
110,61.0
111,70.0
112,76.0
113,76.0
114,74.0
115,74.0
116,63.0
117,46.0
118,46.0
119,55.0
120,73.0
121,7.0
122,55.0
123,46.0
124,56.0
125,44.0
126,82.0
127,59.0
128,73.0
129,73.0
130,56.0
131,51.0
132,50.0
133,61.0
134,71.0
135,56.0
136,50.0
137,48.0
138,58.0
139,83.0
140,52.0
141,62.0
142,53.0
143,85.0
144,75.0
145,66.0
146,83.0
147,73.0
148,64.0
149,80.0
150,78.0
151,83.0
152,81.0
153,78.0
154,50.0
155,78.0
156,68.0
157,29.0
158,53.0
159,61.0
160,76.0
161,57.0
162,54.0
163,69.0
164,73.0
165,83.0
166,70.0
167,81.0
168,68.0
169,63.0
170,76.0
171,87.0
172,53.0
173,56.0
174,66.0
175,60.0
176,66.0
177,82.0
178,80.0
179,69.0
180,79.0
181,60.0
182,85.0
183,68.0
184,65.0
185,61.0
186,69.0
187,77.0
188,51.0
189,61.0
190,60.0
191,57.0
192,80.0
193,82.0
194,64.0
195,69.0
196,82.0
197,83.0
198,76.0
199,74.0
200,56.0
201,70.0
202,70.0
203,43.0
