,speechiness
0,0.0769
1,0.0348
2,0.0944
3,0.0738
4,0.0412
5,0.0433
6,0.0857
7,0.031
8,0.0853
9,0.0327
10,0.0263
11,0.124
12,0.0322
13,0.0442
14,0.0246
15,0.0343
16,0.0273
17,0.0893
18,0.376
19,0.0412
20,0.0386
21,0.225
22,0.072
23,0.134
24,0.235
25,0.168
26,0.0941
27,0.0695
28,0.435
29,0.168
30,0.0443
31,0.0502
32,0.475
33,0.266
34,0.243
35,0.0977
36,0.515
37,0.035
38,0.0775
39,0.13
40,0.0323
41,0.194
42,0.047
43,0.0864
44,0.0416
45,0.177
46,0.0322
47,0.0926
48,0.0819
49,0.346
50,0.414
51,0.27
52,0.369
53,0.254
54,0.221
55,0.0741
56,0.0864
57,0.225
58,0.334
59,0.0941
60,0.26
61,0.251
62,0.079
63,0.195
64,0.157
65,0.0893
66,0.211
67,0.462
68,0.0792
69,0.381
70,0.0579
71,0.311
72,0.0495
73,0.0412
74,0.52
75,0.0302
76,0.146
77,0.277
78,0.373
79,0.27
80,0.222
81,0.105
82,0.236
83,0.171
84,0.0349
85,0.251
86,0.0893
87,0.381
88,0.222
89,0.484
90,0.392
91,0.168
92,0.247
93,0.239
94,0.239
95,0.247
96,0.158
97,0.359
98,0.459
99,0.086
100,0.0654
101,0.222
102,0.312
103,0.0359
104,0.0406
105,0.319
106,0.226
107,0.0991
108,0.0555
109,0.319
110,0.105
111,0.132
112,0.226
113,0.426
114,0.141
115,0.396
116,0.422
117,0.238
118,0.277
119,0.279
120,0.485
121,0.11
122,0.45
123,0.214
124,0.0582
125,0.32
126,0.102
127,0.13
128,0.147
129,0.0722
130,0.0435
131,0.297
132,0.225
133,0.0409
134,0.334
135,0.128
136,0.38
137,0.29
138,0.138
139,0.196
140,0.0312
141,0.0273
142,0.472
143,0.351
144,0.037
145,0.104
146,0.196
147,0.134
148,0.315
149,0.113
150,0.0531
151,0.106
152,0.079
153,0.136
154,0.225
155,0.0531
156,0.335
157,0.0538
158,0.0561
159,0.059
160,0.265
161,0.332
162,0.297
163,0.28
164,0.0985
165,0.106
166,0.0346
167,0.0905
168,0.161
169,0.0808
170,0.032
171,0.0603
172,0.221
173,0.0375
174,0.227
175,0.204
176,0.131
177,0.467
178,0.0807
179,0.209
180,0.109
181,0.273
182,0.0317
183,0.119
184,0.323
185,0.0402
186,0.26
187,0.339
188,0.0728
189,0.105
190,0.104
191,0.233
192,0.0369
193,0.276
194,0.0564
195,0.0579
