,tempo
0,180.598
1,132.039
2,80.87
3,82.012
4,143.995
5,139.88
6,97.957
7,129.984
8,169.965
9,148.038
10,113.98
11,127.992
12,122.966
13,98.962
14,165.033
15,82.009
16,98.463
17,127.998
18,147.931
19,94.995
20,128.034
21,139.864
22,195.918
23,165.736
24,111.997
25,149.97
26,119.985
27,76.996
28,163.104
29,148.046
30,125.012
31,139.919
32,137.981
33,139.833
34,168.097
35,107.059
36,150.055
37,105.95
38,125.994
39,139.979
40,124.045
41,140.016
42,131.01
43,141.991
44,78.534
45,142.04
46,104.998
47,124.921
48,115.021
49,141.037
50,140.04
51,148.058
52,159.517
53,78.477
54,100.015
55,95.746
56,77.542
57,139.864
58,98.023
59,119.985
60,96.004
61,139.911
62,140.042
63,90.01
64,144.988
65,127.998
66,77.523
67,130.021
68,143.922
69,130.346
70,128.16
71,140.029
72,151.957
73,104.969
74,162.214
75,118.018
76,164.005
77,139.915
78,180.985
79,140.022
80,155.007
81,140.06
82,167.421
83,147.984
84,83.507
85,85.018
86,127.998
87,130.346
88,110.984
89,84.143
90,173.585
91,149.97
92,147.946
93,132.054
94,132.054
95,147.946
96,148.02
97,84.022
98,109.412
99,132.01
100,149.92
101,155.008
102,139.954
103,127.051
104,135.056
105,75.491
106,100.034
107,128.981
108,118.012
109,75.491
110,129.02
111,171.921
112,100.034
113,75.445
114,160.067
115,149.004
116,145.048
117,80.307
118,157.016
119,159.034
120,189.891
121,139.983
122,79.48
123,146.129
124,143.027
125,146.084
126,136.041
127,139.979
128,97.981
129,83.981
130,136.982
131,151.937
132,97.993
133,125.983
134,130.029
135,77.943
136,132.125
137,81.468
138,130.064
139,153.075
140,140.053
141,135.005
142,153.899
143,142.094
144,100.051
145,110.573
146,153.075
147,165.736
148,103.974
149,153.993
150,90.494
151,80.015
152,140.042
153,123.066
154,97.993
155,90.494
156,139.995
157,135.146
158,155.02
159,91.035
160,121.845
161,166.055
162,142.007
163,137.767
164,167.923
165,80.015
166,153.131
167,86.003
168,123.968
169,112.15
170,131.05
171,146.04
172,133.053
173,129.954
174,105.052
175,113.497
176,138.024
177,168.112
178,77.557
179,140.071
180,84.733
181,87.955
182,76.469
183,100.14
184,110.953
185,158.027
186,160.099
187,166.162
188,130.036
189,129.02
190,100.041
191,129.993
192,97.96
193,123.984
194,114.995
195,128.16
196,162.948
197,109.004
198,147.988
199,136.078
200,124.09
201,101.008
202,140.016
203,90.052
204,107.356
205,100.298
206,166.162
207,127.998
208,
209,123.028
210,147.988
211,140.935
212,153.028
213,129.967
214,81.468
215,81.468
216,132.936
217,77.271
218,127.998
219,138.055
220,102.94
221,128.047
222,123.028
223,109.004
224,162.839
225,74.949
226,129.829
227,140.011
228,140.011
229,173.948
230,134.032
231,140.053
232,131.965
233,118.012
234,175.985
235,140.063
236,103.974
237,103.974
238,86.02
239,141.037
240,140.042
241,87.364
242,150.06
243,122.991
244,93.034
245,151.937
246,91.048
247,148.02
248,144.998
249,82.996
250,161.989
251,155.055
252,168.197
253,99.993
254,83.226
255,156.983
256,103.956
257,134.979
258,100.001
259,142.046
260,109.412
261,111.983
262,128.047
263,87.353
264,118.869
265,149.004
266,81.618
267,167.022
268,154.132
269,130.032
270,
271,160.062
272,97.994
273,140.011
274,79.119
275,124.984
276,170.115
277,140.053
278,130.007
279,124.987
280,85.512
281,161.993
282,80.064
283,143.95
284,154.983
285,95.034
286,98.011
287,129.98
288,130.003
289,79.635
290,98.043
291,120.042
292,147.009
293,118.04
294,192.099
295,171.921
296,102.021
297,94.994
298,154.964
299,97.949
300,94.577
301,124.921
302,160.004
303,75.445
304,180.051
305,161.808
306,143.043
307,99.034
308,97.985
309,163.935
310,130.009
311,140.0
312,181.982
313,142.948
314,147.026
315,99.027
316,130.028
317,81.541
318,154.056
319,151.951
320,139.952
321,74.949
322,149.991
323,134.972
324,84.931
325,118.037
326,130.032
327,153.075
328,162.956
329,121.082
330,189.891
331,88.031
332,91.935
333,
334,120.08
335,159.961
336,99.999
337,151.486
338,77.497
339,149.499
340,144.043
341,160.009
342,150.969
343,150.063
344,151.894
345,79.94
346,140.023
347,148.991
348,80.035
349,85.042
350,96.493
351,92.899
352,167.421
353,107.934
354,142.977
355,83.964
356,147.984
357,84.281
358,149.962
359,140.081
360,111.997
361,80.225
362,120.046
363,123.503
364,135.994
365,181.94
366,159.915
367,196.043
368,125.009
369,155.05
370,133.993
371,141.888
372,166.084
373,120.033
374,116.96
375,128.047
376,135.056
377,147.931
378,96.943
379,119.994
380,137.994
381,159.801
382,81.012
383,130.346
384,151.957
385,150.024
386,170.13
387,81.114
388,155.05
389,157.938
390,122.947
391,83.903
392,122.0
393,139.913
394,150.133
395,124.045
396,158.043
397,165.117
398,135.034
399,115.007
400,128.047
401,155.738
402,98.21
403,119.01
404,130.049
405,141.007
406,139.991
407,88.834
408,135.337
409,163.882
410,137.945
411,155.096
412,173.948
413,148.028
414,169.982
415,143.01
416,140.114
417,140.032
418,93.372
419,90.01
420,113.47
421,96.057
422,144.988
423,169.961
424,170.004
425,115.007
426,166.077
427,119.996
428,139.995
429,99.183
430,160.067
431,140.032
432,112.511
433,95.079
434,119.969
435,140.022
436,140.022
437,100.002
438,78.021
439,159.005
440,159.005
441,123.964
442,91.964
443,91.964
444,207.982
445,134.022
446,124.008
447,135.97
448,179.974
449,83.507
450,117.072
