,track_length
0,175360.0
1,219053.0
2,238805.0
3,213658.0
4,242609.0
5,202436.0
6,186050.0
7,230866.0
8,209386.0
9,229346.0
10,208760.0
11,206599.0
12,205146.0
13,188380.0
14,271672.0
15,155146.0
16,318378.0
17,154424.0
18,155872.0
19,174315.0
20,282480.0
21,157712.0
22,167552.0
23,297404.0
24,193026.0
25,217000.0
26,152000.0
27,175093.0
28,190120.0
29,129733.0
30,467586.0
31,229573.0
32,208569.0
33,123573.0
34,185714.0
35,234693.0
36,174661.0
37,144733.0
38,337989.0
39,162886.0
40,321560.0
41,192606.0
42,219663.0
43,175954.0
44,217405.0
45,165640.0
46,372866.0
47,83000.0
48,274320.0
49,177747.0
50,138936.0
51,153474.0
52,375050.0
53,235535.0
54,246173.0
55,251422.0
56,204386.0
57,157712.0
58,256966.0
59,152000.0
60,186344.0
61,135880.0
62,195428.0
63,282666.0
64,150760.0
65,154424.0
66,229400.0
67,158769.0
68,146666.0
69,216826.0
70,126043.0
71,198666.0
72,161746.0
73,198902.0
74,176383.0
75,239266.0
76,172195.0
77,120076.0
78,252186.0
79,181263.0
80,264531.0
81,221440.0
82,164000.0
83,242506.0
84,161840.0
85,148278.0
86,154424.0
87,216826.0
88,199432.0
89,176590.0
90,276920.0
91,217000.0
92,186945.0
93,236293.0
94,236293.0
95,186945.0
96,169396.0
97,148655.0
98,49226.0
99,162400.0
100,243200.0
101,312820.0
102,169704.0
103,286235.0
104,341475.0
105,238816.0
106,223186.0
107,121346.0
108,211360.0
109,238816.0
110,145121.0
111,181720.0
112,223186.0
113,163320.0
114,144090.0
115,258880.0
116,239314.0
117,251333.0
118,156466.0
119,160481.0
120,208733.0
121,275318.0
122,177866.0
123,170955.0
124,179021.0
125,121704.0
126,157066.0
127,162886.0
128,200106.0
129,142025.0
130,199227.0
131,184736.0
132,198520.0
133,413333.0
134,158691.0
135,135418.0
136,190146.0
137,185480.0
138,161906.0
139,153800.0
140,404666.0
141,101516.0
142,177243.0
143,216386.0
144,324674.0
145,165053.0
146,153800.0
147,297404.0
148,241682.0
149,292093.0
150,193293.0
151,205040.0
152,195428.0
153,156497.0
154,198520.0
155,193293.0
156,212640.0
157,174059.0
158,230439.0
159,190411.0
160,277386.0
161,188233.0
162,207400.0
163,302004.0
164,210666.0
165,205040.0
166,244873.0
167,180522.0
168,461840.0
169,183588.0
170,262693.0
171,110886.0
172,259519.0
173,162528.0
174,211039.0
175,197758.0
176,202453.0
177,166560.0
178,248431.0
179,197079.0
180,547733.0
181,165720.0
182,175720.0
183,305840.0
184,230693.0
185,185316.0
186,96063.0
187,127200.0
188,194874.0
189,145121.0
190,152532.0
191,276794.0
192,237800.0
193,213593.0
194,228706.0
195,126043.0
196,167915.0
197,203266.0
198,199549.0
199,236614.0
200,127843.0
201,299226.0
202,192606.0
203,207790.0
204,174444.0
205,163954.0
206,127200.0
207,154424.0
208,
209,271219.0
210,199549.0
211,85123.0
212,189800.0
213,189341.0
214,185480.0
215,185480.0
216,194843.0
217,149077.0
218,154424.0
219,165213.0
220,141413.0
221,153653.0
222,271219.0
223,203266.0
224,106496.0
225,217775.0
226,221538.0
227,201706.0
228,201706.0
229,332300.0
230,175693.0
231,213132.0
232,246213.0
233,211360.0
234,142000.0
235,235040.0
236,241682.0
237,241682.0
238,167441.0
239,126000.0
240,236571.0
241,176179.0
242,177600.0
243,159521.0
244,207626.0
245,184736.0
246,350120.0
247,169396.0
248,174066.0
249,268933.0
250,165819.0
251,173419.0
252,182493.0
253,145626.0
254,349600.0
255,177683.0
256,161306.0
257,187105.0
258,157202.0
259,158708.0
260,49226.0
261,279906.0
262,153653.0
263,300960.0
264,227571.0
265,258880.0
266,247058.0
267,182517.0
268,199520.0
269,169999.0
270,
271,180480.0
272,232959.0
273,201706.0
274,248586.0
275,199680.0
276,254200.0
277,213132.0
278,212354.0
279,197993.0
280,157400.0
281,202962.0
282,200016.0
283,223346.0
284,238614.0
285,151640.0
286,159183.0
287,210093.0
288,183527.0
289,190066.0
290,228759.0
291,215280.0
292,269813.0
293,181948.0
294,240341.0
295,181720.0
296,181825.0
297,165937.0
298,192200.0
299,229320.0
300,178213.0
301,83000.0
302,136366.0
303,163320.0
304,189322.0
305,273746.0
306,202680.0
307,162546.0
308,233901.0
309,175755.0
310,167973.0
311,196138.0
312,190288.0
313,242180.0
314,195546.0
315,157520.0
316,192539.0
317,118500.0
318,196111.0
319,213520.0
320,175203.0
321,217775.0
322,207866.0
323,243976.0
324,209440.0
325,250141.0
326,169999.0
327,153800.0
328,165642.0
329,182426.0
330,208733.0
331,208293.0
332,337640.0
333,
334,176631.0
335,180293.0
336,139200.0
337,221840.0
338,247714.0
339,145632.0
340,186944.0
341,186070.0
342,167397.0
343,193861.0
344,235986.0
345,307000.0
346,257493.0
347,141744.0
348,121630.0
349,189289.0
350,131606.0
351,174133.0
352,164000.0
353,151146.0
354,176756.0
355,223786.0
356,242506.0
357,177226.0
358,166400.0
359,158706.0
360,193026.0
361,194809.0
362,193143.0
363,224627.0
364,170000.0
365,147720.0
366,167106.0
367,175827.0
368,230400.0
369,174967.0
370,255413.0
371,191033.0
372,266325.0
373,208000.0
374,116559.0
375,150043.0
376,341475.0
377,155872.0
378,185000.0
379,160518.0
380,195046.0
381,218146.0
382,294650.0
383,216826.0
384,161746.0
385,195637.0
386,225920.0
387,271773.0
388,174967.0
389,164038.0
390,220487.0
391,239835.0
392,151481.0
393,185946.0
394,166093.0
395,321560.0
396,149948.0
397,152111.0
398,144724.0
399,268434.0
400,150043.0
401,248174.0
402,206626.0
403,232064.0
404,243836.0
405,184087.0
406,214285.0
407,164579.0
408,290791.0
409,158120.0
410,219360.0
411,182706.0
412,332300.0
413,170920.0
414,205666.0
415,204664.0
416,198848.0
417,194773.0
418,210746.0
419,282666.0
420,417226.0
421,179449.0
422,150760.0
423,179630.0
424,189176.0
425,268434.0
426,234215.0
427,162053.0
428,212640.0
429,181890.0
430,144090.0
431,194773.0
432,145542.0
433,202620.0
434,224002.0
435,205803.0
436,181263.0
437,170053.0
438,161757.0
439,151849.0
440,151849.0
441,227373.0
442,357653.0
443,357653.0
444,126960.0
445,233039.0
446,189253.0
447,222026.0
448,173760.0
449,161840.0
450,256586.0
451,208026.0
452,242407.0
453,258475.0
454,192200.0
455,297786.0
456,148840.0
457,212640.0
458,212640.0
459,230613.0
460,204026.0
461,163902.0
462,252186.0
463,332300.0
464,266325.0
465,115350.0
466,202193.0
467,168379.0
468,255378.0
469,153337.0
470,181812.0
471,386906.0
472,386906.0
473,172426.0
474,239266.0
475,127373.0
476,120906.0
477,206626.0
478,170400.0
479,194621.0
480,320654.0
481,216668.0
482,244679.0
483,289306.0
484,266551.0
485,158332.0
486,180480.0
487,256162.0
488,167915.0
489,192080.0
490,219340.0
491,243836.0
492,289094.0
493,132986.0
494,225920.0
495,299226.0
496,219340.0
497,219340.0
498,150475.0
499,83000.0
500,239835.0
501,199680.0
502,141586.0
503,135535.0
504,547106.0
505,245386.0
506,151640.0
507,163404.0
508,357653.0
509,186070.0
510,186070.0
511,185610.0
512,220586.0
513,185610.0
514,220586.0
515,157816.0
516,182723.0
517,195428.0
518,162546.0
519,224666.0
520,200016.0
521,195692.0
522,228386.0
523,205484.0
524,137173.0
525,157776.0
526,198848.0
527,161757.0
528,196138.0
529,174444.0
530,191436.0
531,85123.0
532,292307.0
533,188174.0
534,173801.0
535,207738.0
536,230408.0
537,211588.0
538,179021.0
539,226320.0
540,205426.0
541,141744.0
542,222592.0
543,234054.0
544,177226.0
545,176590.0
546,183906.0
547,166093.0
548,165819.0
549,156780.0
550,230439.0
551,
552,277386.0
553,211266.0
554,189800.0
555,170958.0
556,208462.0
557,165937.0
558,200134.0
559,349293.0
560,158708.0
561,210367.0
562,175755.0
563,189480.0
564,180453.0
565,283693.0
566,265120.0
567,404666.0
568,220487.0
569,123573.0
570,237735.0
571,233333.0
572,183906.0
573,171713.0
574,145626.0
575,156497.0
576,202453.0
577,246413.0
578,214610.0
579,186626.0
580,332529.0
581,223786.0
582,229893.0
583,215838.0
584,372866.0
585,240050.0
586,137133.0
587,209663.0
588,164579.0
589,222801.0
590,150866.0
591,165000.0
592,341475.0
593,210746.0
594,195637.0
595,248520.0
596,149948.0
597,167040.0
598,336445.0
599,268933.0
600,151649.0
601,183681.0
602,246861.0
603,203907.0
604,199507.0
605,272378.0
606,156466.0
607,275872.0
608,217226.0
609,180923.0
610,197079.0
611,205171.0
612,189289.0
613,397666.0
614,221272.0
615,141493.0
616,167898.0
617,256586.0
618,195991.0
619,181158.0
620,218146.0
621,168280.0
622,161377.0
623,217728.0
624,157656.0
625,158120.0
626,177651.0
627,153863.0
628,254200.0
629,337989.0
630,182520.0
631,194732.0
632,204386.0
633,226040.0
634,197573.0
635,271219.0
636,252256.0
637,177866.0
638,266000.0
639,151481.0
640,197133.0
641,146520.0
642,279906.0
643,259346.0
644,148148.0
645,235535.0
646,191359.0
647,195058.0
648,127843.0
649,184093.0
650,114893.0
651,227474.0
652,127200.0
653,242600.0
654,157656.0
655,292173.0
656,144935.0
657,181720.0
658,135441.0
659,178226.0
660,190302.0
661,270586.0
662,294650.0
663,324189.0
664,352977.0
665,203266.0
666,262544.0
667,152913.0
668,145292.0
669,221353.0
670,165642.0
671,101516.0
672,220293.0
673,375050.0
674,
675,173619.0
676,178746.0
677,139200.0
678,170053.0
679,304041.0
680,169906.0
681,203200.0
682,169704.0
683,203569.0
684,208000.0
685,378893.0
686,165720.0
687,
688,144724.0
689,176756.0
690,135880.0
691,213863.0
692,242506.0
693,194809.0
694,173760.0
695,70044.0
696,515386.0
697,259519.0
698,101851.0
699,227571.0
700,339066.0
701,257493.0
702,183527.0
703,187105.0
704,250141.0
705,225416.0
706,222967.0
707,165640.0
708,247714.0
709,206386.0
710,264531.0
711,126000.0
712,222967.0
713,225416.0
714,205040.0
715,181144.0
716,156497.0
717,199227.0
718,127345.0
719,175710.0
720,134027.0
721,168438.0
722,195058.0
723,245386.0
724,179830.0
725,190557.0
726,254740.0
727,207400.0
728,202794.0
729,223346.0
730,223786.0
731,254740.0
732,148759.0
733,221333.0
734,229586.0
735,207400.0
736,242180.0
737,241682.0
738,200016.0
739,266551.0
740,215838.0
741,195428.0
742,156497.0
743,268933.0
744,222801.0
745,225641.0
746,351946.0
747,156885.0
748,186626.0
749,115350.0
750,245386.0
751,195257.0
752,297546.0
753,180506.0
754,145121.0
755,276794.0
756,145542.0
757,238816.0
758,228759.0
759,224903.0
760,189830.0
761,352977.0
762,181733.0
763,176631.0
764,172195.0
765,271773.0
766,202453.0
767,216386.0
768,177243.0
769,230693.0
770,163840.0
771,76973.0
772,372866.0
773,284493.0
774,182386.0
775,210431.0
776,129720.0
777,175169.0
778,219360.0
779,154173.0
780,177000.0
781,277386.0
782,157816.0
783,246173.0
784,236571.0
785,273802.0
786,192705.0
787,181812.0
788,225019.0
789,154406.0
790,162400.0
791,191251.0
792,209273.0
793,183906.0
794,270714.0
795,149040.0
796,197586.0
797,178213.0
798,192000.0
799,310666.0
800,179512.0
801,265120.0
802,269703.0
803,404666.0
804,182426.0
805,192779.0
806,230693.0
807,195590.0
808,292307.0
809,142417.0
810,181720.0
811,104013.0
812,262693.0
813,196638.0
814,177747.0
815,188773.0
816,161906.0
817,196138.0
818,98286.0
819,175203.0
820,347226.0
821,210386.0
822,179021.0
823,121704.0
824,205426.0
825,197993.0
826,205146.0
827,210261.0
828,225050.0
829,205040.0
830,155497.0
831,200016.0
832,133170.0
833,150866.0
834,276147.0
835,210800.0
836,153337.0
837,266879.0
838,
839,159714.0
840,169657.0
841,192013.0
842,148655.0
843,183834.0
844,138936.0
845,141826.0
846,156885.0
847,153474.0
848,240682.0
849,196652.0
850,
851,264000.0
852,224284.0
853,255378.0
854,211785.0
855,158691.0
856,343099.0
857,173600.0
858,190120.0
859,
860,290325.0
861,243520.0
862,170955.0
863,217226.0
864,280786.0
865,141493.0
866,149613.0
867,207400.0
868,191251.0
869,251080.0
870,137173.0
871,283693.0
872,312820.0
873,174661.0
874,174066.0
875,482830.0
876,240341.0
877,235232.0
878,195053.0
879,224903.0
880,203881.0
881,161306.0
882,189176.0
883,175755.0
884,230400.0
885,195546.0
886,118500.0
887,230408.0
888,182000.0
889,208569.0
890,336445.0
891,204026.0
892,237735.0
893,176631.0
894,144733.0
895,202747.0
896,169906.0
897,235986.0
898,397666.0
899,219340.0
900,226600.0
901,183906.0
902,194732.0
903,193143.0
904,135200.0
905,172800.0
906,198912.0
907,286235.0
908,235680.0
909,145632.0
910,161757.0
911,211360.0
912,236571.0
913,192026.0
914,156637.0
915,177866.0
916,227373.0
917,316192.0
918,213520.0
919,320654.0
920,318750.0
921,121346.0
922,190411.0
923,179387.0
924,165053.0
925,238816.0
926,157656.0
927,243836.0
928,244873.0
929,150475.0
930,167552.0
931,217828.0
932,182493.0
933,216893.0
934,461840.0
935,297786.0
936,179630.0
937,181158.0
938,83000.0
939,223186.0
940,217338.0
941,156497.0
942,212653.0
943,158708.0
944,279906.0
945,210367.0
946,202680.0
947,169500.0
948,195160.0
949,191813.0
950,145292.0
951,178131.0
952,196077.0
953,225923.0
954,186344.0
955,178373.0
956,205666.0
957,206386.0
958,241440.0
959,208000.0
960,185610.0
961,174133.0
962,289306.0
963,175720.0
964,145546.0
965,144000.0
966,136031.0
967,199227.0
968,234054.0
969,221272.0
970,173489.0
971,170270.0
972,256533.0
973,150475.0
974,299613.0
975,218283.0
976,194843.0
977,172426.0
978,169500.0
979,167915.0
980,297404.0
981,217728.0
982,123573.0
983,208293.0
984,248586.0
985,241440.0
986,242600.0
987,
988,299613.0
989,147866.0
990,135064.0
991,189486.0
992,208026.0
993,189977.0
994,167018.0
995,197320.0
996,199507.0
997,217728.0
998,338438.0
999,230613.0
1000,332529.0
1001,167453.0
1002,180822.0
1003,
1004,210545.0
1005,195058.0
1006,127843.0
